nodeId,nodeType,posX,posY,connectedIds
0,Cleared,-780,-390,1;2
1,Cleared,-440,-340,3;4
2,Cleared,-720,-200,4;5;7
3,Cleared,-170,-390,9;14
4,Cleared,-300,-180,9
5,Cleared,-810,30,6
6,Cleared,-720,250,7;8
7,Cleared,-480,80,11
8,Cleared,-520,360,10
9,Cleared,-180,20,11;14;15
10,Cleared,-250,430,12
11,Cleared,-160,250,8
12,Cleared,30,460,21
13,Cleared,220,280,12
14,Cleared,30,-230,16;17
15,Cleared,190,40,10;20;13
16,Cleared,260,-340,18
17,Cleared,350,-120,19
18,Cleared,670,-190,15;17
19,Cleared,600,-30,21
20,Cleared,420,150,21
21,Cleared,580,340,22
22,Cleared,830,160,50
