nodeId,nodeType,posX,posY,connectedIds
0,Cleared,-850,-210,1
1,Cleared,-840,-20,2
2,Cleared,-610,150,3;5;6
3,Cleared,-660,-120,4
4,Cleared,-390,-210,7;8;9
5,Cleared,-420,20,4;7
6,Cleared,-250,280,10
7,Cleared,-190,0,10
8,Cleared,-80,-350,13
9,Cleared,-100,-130,12;13
10,Cleared,10,170,11;12
11,Cleared,-20,400,20
12,Cleared,90,-20,13
13,Cleared,220,-280,14;15
14,Cleared,400,-40,15;18
15,Cleared,520,-230,16
16,Cleared,780,-170,17
17,Cleared,670,-30,18;19
18,Cleared,560,200,19
19,Cleared,820,160,21
20,Cleared,300,340,21
21,Cleared,480,410,50
