nodeId,nodeType,posX,posY,connectedIds
0,Cleared,-860,-30,1;2;3
1,Cleared,-740,170,4;5
2,Cleared,-730,-330,3
3,Cleared,-600,-110,5;6
4,Cleared,-450,290,10
5,Cleared,-440,100,8;10
6,Cleared,-420,-300,7;8
7,Cleared,-170,-400,11
8,Cleared,-230,-100,10;11;13
9,Cleared,-160,330,14
10,Cleared,-100,150,9
11,Cleared,-100,-220,12
12,Cleared,210,-320,13
13,Cleared,60,-50,14;16;17
14,Cleared,140,200,15
15,Cleared,130,410,18
16,Cleared,340,-100,19
17,Cleared,420,130,19
18,Cleared,530,360,21
19,Cleared,560,-40,20;21
20,Cleared,610,-230,22
21,Cleared,690,230,22
22,Cleared,780,10,50
