nameKey,descriptionKey,cardArtName,cardType,actionType,cardTarget,rare,cost,CostType,maxTurn,maxCount,effectMapRaw
rage_name,rage_desc,Rage,Scroll,Power,onePlayer,Tier0,1,Mana,0,0,"Rage::1"
get_bone_name,get_bone_desc,GetBone,Passive,Power,allPlayer,Tier2,0,Mana,0,0,"corpseReturnCount::1"
atk_name,atk_desc_1,Attack_1,Action,Skill,oneEnemy,Tier0,1,Mana,0,0,"Damage::30"
atk_name,atk_desc_1,Attack_1,Action,Skill,oneEnemy,Tier0,1,Mana,0,0,"Damage::30"
atk_name,atk_desc_1,Attack_1,Action,Skill,oneEnemy,Tier0,1,Mana,0,0,"Damage::30"
shield_name,shield_desc_1,Shield_1,Action,Skill,onePlayer,Tier0,1,Mana,0,0,"Shield::3"
shield_name,shield_desc_1,Shield_1,Action,Skill,onePlayer,Tier0,1,Mana,0,0,"Shield::3"
shield_name,shield_desc_1,Shield_1,Action,Skill,onePlayer,Tier0,1,Mana,0,0,"Shield::3"
fusion_name,fusion_desc,Fusion,Action,Skill,nop,Tier2,1,Mana,0,0,"Fusion::1"
summon_name,summon_2_desc,Summon,Action,Skill,nop,Tier1,1,Mana,0,0,"Summon::2"
