poison_gas_name,poison_gas_desc,PoisonGas,Action,Skill,allEnemy,Tier1,1,Mana,0,0,"Gimmick::Poison::3::3"
magic_book_name_1,magic_book_desc,MagicBook_1,Passive,Power,allPlayer,Tier1,0,Mana,0,0,"fusionLevel::1"
magic_book_name_2,magic_book_desc,MagicBook_2,Passive,Power,allPlayer,Tier2,0,Mana,0,0,"fusionLevel::2"
bone_golem_name_1,bone_golem_desc,BoneGolem,Action,Skill,nop,Tier0,2,Mana,0,0,"BoneGolem::4"
bone_golem_name_2,bone_golem_desc,BoneGolem,Action,Skill,nop,Tier2,3,Mana,0,0,"BoneGolem::10"
bone_shield_name,bone_shield_desc_1,BoneShield_1,Action,Skill,onePlayer,Tier0,1,Mana,0,0,"Shield::5:20:d|BoneShield::0.1:0.2:f"
bone_shield_name,bone_shield_desc_1,BoneShield_2,Action,Skill,onePlayer,Tier1,1,Mana,0,0,"Shield::10:30:d|BoneShield::0.15:0.3:f"
bone_shield_name,bone_shield_desc_2,BoneShield_3,Action,Skill,allPlayer,Tier2,1,Mana,0,0,"Shield::20:40:d|BoneShield::0.2:0.3:f"
bone_spear_name,bone_spear_desc_1,BoneSpear_1,Action,Skill,oneEnemy,Tier0,1,Mana,0,0,"BoneSpear::0.7"
bone_spear_name,bone_spear_desc_1,BoneSpear_2,Action,Skill,oneEnemy,Tier1,1,Mana,0,0,"BoneSpear::0.14"
bone_spear_name,bone_spear_desc_2,BoneSpear_3,Action,Skill,allEnemy,Tier2,1,Mana,0,0,"BoneSpear::0.1"
summon_copy_name,summon_copy_desc,SummonCopy,Passive,Power,allPlayer,Tier3,0,Mana,0,0,"SummonCopy::0.3"
corpse_explosion_name,corpse_explosion_desc_1,CorpseExplosion_1,Action,Skill,oneEnemy,Tier0,2,Mana,0,0,"CorpseExplosion::0.03"
corpse_explosion_name,corpse_explosion_desc_2,CorpseExplosion_2,Action,Skill,allEnemy,Tier1,2,Mana,0,0,"CorpseExplosion::0.05"
fusion_name,fusion_desc,Fusion,Action,Skill,nop,Tier2,1,Mana,0,0,"Fusion::1"
suicide_bomber_name,suicide_bomber_desc,SuicideBomber,Passive,Power,allPlayer,Tier1,0,Mana,0,0,"DeathBlastChance::0.1:0.3:f"
suicide_damageup_name,suicide_damageup_desc,SuicideDamageUp,Passive,Power,allPlayer,Tier2,0,Mana,0,0,"DeathBlastDamageFactor::0.2:0.8:f"
sacrifice_name,sacrifice_desc,Sacrifice,Action,Skill,onePlayer,Tier1,1,Mana,0,0,"Sacrifice::1"
sacrifice_name,sacrifice_desc,Sacrifice,Action,Skill,onePlayer,Tier3,0,Mana,0,0,"Sacrifice::1"
sacrifice_mana_name,sacrifice_mana_desc,SacrificeMana,Passive,Power,allPlayer,Tier1,0,Mana,0,0,"manaGainChanceWithSummon::0.3:0.7:f"
sacrifice_draw_name,sacrifice_draw_desc,SacrificeDraw,Passive,Power,allPlayer,Tier1,0,Mana,0,0,"drawChanceWithSummon::0.3:0.7:f"
summon_name,summon_0_desc,Summon,Action,Skill,nop,Tier0,0,Mana,0,0,"Summon::0"
summon_name,summon_1_desc,Summon,Action,Skill,nop,Tier1,1,Mana,0,0,"Summon::1"
summon_name,summon_2_desc,Summon,Action,Skill,nop,Tier1,1,Mana,0,0,"Summon::2"
summon_name,summon_3_desc,Summon,Action,Skill,nop,Tier1,1,Mana,0,0,"Summon::3"
summon_name,summon_4_desc,Summon,Action,Skill,nop,Tier1,1,Mana,0,0,"Summon::6"
